Film,Production,Cast
Wish Upon,Broad Green Pictures / Orion Pictures,"John Leonetti (director); Barbara Marshall (screenplay); Joey King, Ryan Phillippe, Ki Hong Lee, Mitchell Slaggert, Shannon Purser, Sydney Park, Kevin Hanchard, Sherilyn Fenn"
Dunkirk,Warner Bros. Pictures / Syncopy Inc. / RatPac Entertainment,"Christopher Nolan (director/screenplay); Fionn Whitehead, Tom Glynn-Carney, Aneurin Barnard, Barry Keoghan, Tom Hardy, Cillian Murphy, Mark Rylance, Kenneth Branagh, Harry Styles, James D'Arcy, Jack Lowden, Kevin Guthrie"
Girls Trip,Universal Studios / Perfect World Pictures / Will Packer Productions,"Malcolm D. Lee (director); Kenya Barris, Tracy Oliver (screenplay); Regina Hall, Queen Latifah, Jada Pinkett Smith, Tiffany Haddish, Larenz Tate, Mike Colter, Kate Walsh"
First Kill,Lionsgate Premiere,"Steven C. Miller (director); Nick Gordon (screenplay); Hayden Christensen, Bruce Willis, Gethin Anthony, Megan Leonard, Tyler Jon Olson, Shea Buckner, William DeMeo"
Atomic Blonde,Focus Features,"David Leitch (director); Kurt Johnstad (screenplay); Charlize Theron, James McAvoy, John Goodman, Til Schweiger, Sofia Boutella, Toby Jones, Eddie Marsan, Roland Møller"
The Emoji Movie,Columbia Pictures / Sony Pictures Animation,"Tony Leondis (director/screenplay); Eric Siegel, Mike White (screenplay); T. J. Miller, James Corden, Anna Faris, Maya Rudolph, Steven Wright, Jennifer Coolidge, Sean Hayes, Sofia Vergara, Christina Aguilera, Patrick Stewart"
An Inconvenient Sequel: Truth to Power,Paramount Pictures / Participant Media,"Bonni Cohen, Jon Shenk (director); Al Gore"
Detroit,Annapurna Pictures,"Kathryn Bigelow (director); Mark Boal (screenplay); John Boyega, Will Poulter, Algee Smith, Jacob Latimore, Jason Mitchell, Hannah Murray, Kaitlyn Dever, Jack Reynor, Ben O'Toole, John Krasinski, Anthony Mackie"
Brigsby Bear,Sony Pictures Classics,"Dave McCary (director); Kyle Mooney, Kevin Costello (screenplay); Kyle Mooney, Mark Hamill, Claire Danes, Greg Kinnear, Andy Samberg, Matt Walsh, Michaela Watkins"
Menashe,A24,"Joshua Z. Weinstein (director); Joshua Z. Weinstein, Alex Lipschultz, Musa Syeed (screenplay); Menashe Lustig, Ruben Nidorski, Yoel Weisshaus, Meyer Schwartz"
The Dark Tower,Columbia Pictures / Media Rights Capital / Imagine Entertainment / Weed Road Pictures,"Nikolaj Arcel (director/screenplay); Akiva Goldsman, Jeff Pinkner, Anders Thomas Jensen (screenplay); Idris Elba, Matthew McConaughey, Tom Taylor, Fran Kranz, Abbey Lee, Katheryn Winnick, Jackie Earle Haley, Claudia Kim"
Kidnap,Aviron Pictures,"Luis Prieto (director); Knate Lee (screenplay); Halle Berry, Sage Correa, Lew Temple, Chris McGinn"
Step,Fox Searchlight Pictures,"Amanda Lipitz (director); Blessin Giraldo, Cori Grainger, Tayla Solomon, Gari McIntyre, Paula Dofat"
Wind River,The Weinstein Company,"Taylor Sheridan (director/screenplay); Jeremy Renner, Elizabeth Olsen"
Armed Response,Saban Films / WWE Films,"John Stockwell (director); Matt Savelloni (screenplay); Wesley Snipes, Anne Heche, Dave Annable, Seth Rollins, Gene Simmons, Mo Gallini"
Annabelle: Creation,Warner Bros. Pictures / New Line Cinema / RatPac Entertainment / Atomic Monster Productions,"David F. Sandberg (director); Gary Dauberman (screenplay); Stephanie Sigman, Talitha Bateman, Anthony LaPaglia, Miranda Otto"
The Glass Castle,Lionsgate,"Destin Daniel Cretton (director/screenplay); Marti Noxon, Andrew Lanham (screenplay); Brie Larson, Naomi Watts, Max Greenfield, Woody Harrelson, Sarah Snook"
The Nut Job 2: Nutty by Nature,Open Road Films / ToonBox Entertainment,"Cal Brunker (director/screenplay); Bob Barlen, Scott Bindley (screenplay); Will Arnett, Katherine Heigl, Maya Rudolph, Sebastian Maniscalco, Kari Wahlgren, Bobby Moynihan, Isabela Moner, Bobby Cannavale, Gabriel Iglesias, Jeff Dunham, Peter Stormare"
Good Time,A24,"Ben Safdie & Joshua Safdie (directors); Joshua Safdie, Ronald Bronstein (screenplay); Robert Pattinson, Jennifer Jason Leigh, Ben Safdie, Barkhad Abdi, Buddy Duress, Taliah Webster"
Ingrid Goes West,Neon,"Matt Spicer (director/screenplay); David Branson Smith (screenplay); Aubrey Plaza, Elizabeth Olsen, O'Shea Jackson Jr., Wyatt Russell, Pom Klementieff, Billy Magnussen"
The Only Living Boy in New York,Amazon Studios / Roadside Attractions,"Marc Webb (director); Allan Loeb (screenplay); Callum Turner, Kate Beckinsale, Pierce Brosnan, Cynthia Nixon, Jeff Bridges"
The Hitman's Bodyguard,Summit Entertainment / Millennium Media,"Patrick Hughes (director); Tom O'Connor (screenplay); Ryan Reynolds, Samuel L. Jackson, Gary Oldman, Élodie Yung, Salma Hayek, Joaquim de Almeida, Kirsty Mitchell, Richard E. Grant"
Logan Lucky,Bleecker Street / FilmNation Entertainment,"Steven Soderbergh (director); Rebecca Blunt (screenplay); Channing Tatum, Adam Driver, Riley Keough, Daniel Craig, Hilary Swank, Seth MacFarlane, Katie Holmes, Katherine Waterston, Sebastian Stan, Dwight Yoakam, Brian Gleeson, Jack Quaid"
Patti Cake$,Fox Searchlight Pictures,"Geremy Jasper (director/screenplay); Danielle Macdonald, McCaul Lombardi"
Victor Crowley,Dark Sky Films / ArieScope Pictures,"Adam Green (director/screenplay); Kane Hodder, Tyler Mane, Parry Shen, Dave Sheridan, Krystal Joy Brown, Felissa Rose, Brian Quinn, Tiffany Shepis, Chase Williamson, Jonah Ray, Blake Woodruff, Tony Todd, Danielle Harris, Laura Ortiz, Katie Booth, Kelly Vrooman"
All Saints,Affirm Films / Provident Films,"Steve Gomer (director); Steve Armour (screenplay); John Corbett, Cara Buono"
Served Like a Girl,Entertainment Studios,Lysa Heslov (director)
Beach Rats,Neon,"Eliza Hittman (director/screenplay); Harris Dickinson, Madeline Weinstein, Kate Hodge"
Film Stars Don't Die in Liverpool,Sony Pictures Classics,"Paul McGuigan (director) ;Matt Greenhalgh (screenplay); Annette Bening, Jamie Bell, Vanessa Redgrave, Julie Walters, Kenneth Cranham, Stephen Graham, Frances Barber, Leanne Best"
Tulip Fever,The Weinstein Company,"Justin Chadwick (director); Tom Stoppard (screenplay); Alicia Vikander, Dane DeHaan, Christoph Waltz, Holliday Grainger, Jack O'Connell, Zach Galifianakis, Judi Dench, Matthew Morrison, Kevin McKidd, Douglas Hodge, Joanna Scanlan, Tom Hollander, Cara Delevingne"
Unlocked,Lionsgate Premiere,"Michael Apted (director); Peter O'Brien (screenplay); Noomi Rapace, Orlando Bloom, Toni Collette, John Malkovich, Michael Douglas"
It,Warner Bros. Pictures / New Line Cinema / RatPac Entertainment / Vertigo Entertainment / Lin Pictures,"Andy Muschietti (director); Chase Palmer, Cary Fukunaga, Gary Dauberman (screenplay); Jaeden Lieberher, Bill Skarsgård, Sophia Lillis, Jeremy Ray Taylor, Finn Wolfhard, Jack Dylan Grazer, Wyatt Oleff, Chosen Jacobs, Nicholas Hamilton, Jackson Robert Scott"
Home Again,Open Road Films,"Hallie Meyers-Shyer (director/screenplay); Reese Witherspoon, Candice Bergen, Michael Sheen, Lake Bell, Nat Wolff, Reid Scott, Pico Alexander"
9/11,Atlas Distribution Company,"Martin Guigui (director/screenplay); Steven Golebiowski (screenplay); Charlie Sheen, Gina Gershon, Luis Guzmán,Whoopi Goldberg"
The Good Catholic,Broad Green Pictures,"Paul Shoulberg (director/screenplay); Zachary Spicer, Wrenn Schmidt, John C. McGinley, Danny Glover"
Gun Shy,Saban Films,"Simon West (director); Toby Davies, Mark Haskell Smith (screenplay); Antonio Banderas, Olga Kurylenko"
Fallen,Mayhem Pictures,"Scott Hicks (director); Nichole Millard, Kathryn Price, Michael Ross (screenplay); Addison Timlin, Jeremy Irvine"
American Assassin,Lionsgate / CBS Films,"Michael Cuesta (director); Stephen Schiff (screenplay); Dylan O'Brien, Michael Keaton, Sanaa Lathan, Shiva Negar, Taylor Kitsch"
Mother!,Paramount Pictures,"Darren Aronofsky (director/screenplay); Jennifer Lawrence, Javier Bardem, Michelle Pfeiffer, Domhnall Gleeson, Ed Harris, Kristen Wiig"
Brad's Status,Amazon Studios,"Mike White (director/screenplay); Ben Stiller, Michael Sheen, Luke Wilson, Jemaine Clement, Jenna Fischer"
Kingsman: The Golden Circle,20th Century Fox,"Matthew Vaughn (director/screenplay); Jane Goldman (screenplay); Colin Firth, Julianne Moore, Taron Egerton, Mark Strong, Halle Berry, Elton John, Channing Tatum, Jeff Bridges"
The Lego Ninjago Movie,Warner Bros. Pictures / Warner Animation Group / RatPac-Dune Entertainment / Vertigo Entertainment / Lin Pictures / Lord Miller Productions,"Charlie Bean (director); Dan Hageman, Kevin Hageman, Kevin Chesley, Bryan Shukoff, Jared Stern (screenplay); Jackie Chan, Justin Theroux, Dave Franco, Olivia Munn, Michael Peña, Abbi Jacobson, Kumail Nanjiani, Zach Woods, Fred Armisen"
Stronger,Lionsgate Films / Roadside Attractions / Bold Films,"David Gordon Green (director); John Pollono (screenplay); Jake Gyllenhaal, Tatiana Maslany, Miranda Richardson, Clancy Brown"
Battle of the Sexes,Fox Searchlight Pictures,"Jonathan Dayton and Valerie Faris (directors); Simon Beaufoy (screenplay); Emma Stone, Steve Carell, Andrea Riseborough, Elisabeth Shue, Austin Stowell, Sarah Silverman, Alan Cumming"
Woodshock,A24,"Kate and Laura Mulleavy (directors/screenplay); Kirsten Dunst, Joe Cole, Pilou Asbæk, Lorelei Linklater, Jack Kilmer"
Victoria & Abdul,Focus Features / Perfect World Pictures / BBC Films / Working Title Films,"Stephen Frears (director); Lee Hall (screenplay); Judi Dench, Ali Fazal, Eddie Izzard, Tim Pigott-Smith, Adeel Akhtar"
(Romance) in the Digital Age,Comedy Dynamics,"Jason Michael Brescia (director); Lauren Pritchard, Chris Warren Jr., Joe Murphy, Chris Viemeister, Shabazz Green, Jill Durso"
Jeepers Creepers 3,American Zoetrope / Myriad Pictures,"Victor Salva (director/screenplay); Jonathan Breck, Meg Foster, Brandon James, Gabrielle Haugh, Jordan Salloum, Ryan Moore, Brandon Smith, Gina Philips, Christine Ko, Stan Shaw"
American Made,Universal Pictures / Cross Creek Pictures / Imagine Entertainment,"Doug Liman (director); Gary Spinelli (screenplay); Tom Cruise, Domhnall Gleeson, Sarah Wright, Jayma Mays, Jesse Plemons, Alejandro Edda"
Flatliners,Columbia Pictures / Cross Creek Pictures,"Niels Arden Oplev (director); Ben Ripley (screenplay); Elliot Page, Diego Luna, Nina Dobrev, James Norton, Kiersey Clemons, Kiefer Sutherland"
Mark Felt: The Man Who Brought Down the White House,Sony Pictures Classics / Mandalay Pictures,"Peter Landesman (director/screenplay); Liam Neeson, Diane Lane, Marton Csokas, Ike Barinholtz, Tony Goldwyn, Bruce Greenwood, Michael C. Hall, Brian d'Arcy James, Josh Lucas, Eddie Marsan, Wendi McLendon-Covey, Maika Monroe"
Blade Runner 2049,Warner Bros. Pictures / Alcon Entertainment / Scott Free Productions,"Denis Villeneuve (director); Hampton Fancher, Michael Green (screenplay); Harrison Ford, Ryan Gosling, Ana de Armas, Mackenzie Davis, Sylvia Hoeks, Lennie James, Carla Juri, Robin Wright, Dave Bautista, Jared Leto"
The Mountain Between Us,20th Century Fox / Chernin Entertainment,"Hany Abu-Assad (director); Chris Weitz (screenplay); Idris Elba, Kate Winslet, Dermot Mulroney, Waleed Zuaiter"
My Little Pony: The Movie,Lionsgate / Hasbro Studios,"Jayson Thiessen (director); Meghan McCarthy, Rita Hsiao, Michael Vogel, Joe Ballarini (screenplay); Tara Strong, Ashleigh Ball, Andrea Libman, Tabitha St. Germain, Cathy Weseluck, Kristin Chenoweth, Emily Blunt, Michael Peña, Uzo Aduba, Liev Schreiber, Taye Diggs, Sia, Zoe Saldana"
The Florida Project,A24,"Sean Baker (director/screenplay); Chris Bergoch (screenplay); Willem Dafoe, Bria Vinaite, Brooklynn Prince, Valeria Cotto, Caleb Landry Jones"
Brawl in Cell Block 99,RLJE Entertainment,"S. Craig Zahler (director/screenplay); Vince Vaughn, Jennifer Carpenter, Don Johnson, Udo Kier"
Happy Death Day,Universal Pictures / Blumhouse Productions,"Christopher B. Landon (director/screenplay); Scott Lobdell (screenplay); Jessica Rothe, Israel Broussard, Ruby Modine"
Marshall,Open Road Films,"Reginald Hudlin (director); Michael Koskoff, Jacob Koskoff (screenplay); Chadwick Boseman, Josh Gad, Kate Hudson, Dan Stevens, James Cromwell, Sterling K. Brown"
Breathe,Bleecker Street / Participant Media / The Imaginarium Studios,"Andy Serkis (director); William Nicholson (screenplay); Andrew Garfield, Claire Foy, Tom Hollander, Hugh Bonneville, Dean-Charles Chapman, Miranda Raison, Stephen Mangan"
Goodbye Christopher Robin,Fox Searchlight Pictures,"Simon Curtis (director/screenplay); Domhnall Gleeson, Margot Robbie, Kelly Macdonald"
Professor Marston and the Wonder Women,Annapurna Pictures,"Angela Robinson (director/screenplay); Luke Evans, Rebecca Hall, Bella Heathcote, Connie Britton, Oliver Platt"
Blood Money,Saban Films,"Lucky McKee (director/screenplay); John Cusack, Ellar Coltrane, Willa Fitzgerald, Jacob Artist"
Geostorm,Warner Bros. Pictures / Skydance Media / RatPac Entertainment,"Dean Devlin (director/screenplay); Paul Guyot (screenplay); Gerard Butler, Abbie Cornish, Alexandra Lara, Jim Sturgess, Amr Waked, Ed Harris, Andy García"
Only the Brave,Columbia Pictures,"Joseph Kosinski (director); Ken Nolan, Eric Warren Singer (screenplay); Ben Hardy, Jennifer Connelly, Taylor Kitsch, Miles Teller, James Badge Dale, Josh Brolin, Jeff Bridges"
The Snowman,Universal Pictures / Perfect World Pictures / Working Title Films,"Tomas Alfredson (director); Matthew Michael Carnahan (screenplay); Michael Fassbender, Rebecca Ferguson, Charlotte Gainsbourg, Val Kilmer, J. K. Simmons"
Boo 2! A Madea Halloween,Lionsgate / Tyler Perry Studios,"Tyler Perry (director/screenplay); Tyler Perry, Cassi Davis, Patrice Lovely, Yousef Erakat, Diamond White, Lexy Panterra, Andre Hall Brock O'Hurn, Tito Ortiz"
Same Kind of Different as Me,Paramount Pictures / Pure Flix Entertainment,"Michael Carney (director/screenplay); Ron Hall, Alexander Foard (screenplay); Renée Zellweger, Jon Voight, Djimon Hounsou, Olivia Holt, Greg Kinnear, Stephanie Leigh Schlund"
Leatherface,Lionsgate / Millennium Films / DirecTV,"Julien Maury and Alexandre Bustillo (directors); Seth M. Sherwood (screenplay); Stephen Dorff, Vanessa Grasse, Sam Strike, Lili Taylor, James Bloor, Jessica Madsen, Sam Coleman, Finn Jones"
Wonderstruck,Amazon Studios / Roadside Attractions,"Todd Haynes (director); Brian Selznick (screenplay); Oakes Fegley, Julianne Moore, Millicent Simmonds, Michelle Williams, Jaden Michael, Tom Noonan, James Urbaniak, Amy Hargreaves"
The Killing of a Sacred Deer,A24,"Yorgos Lanthimos (director/screenplay); Colin Farrell, Nicole Kidman, Barry Keoghan, Raffey Cassidy, Sunny Suljic, Alicia Silverstone, Bill Camp"
Thank You for Your Service,Universal Pictures / DreamWorks Pictures / Reliance Entertainment,"Jason Hall (director/screenplay); Miles Teller, Haley Bennett, Beulah Koale, Amy Schumer, Scott Haze"
Suburbicon,Paramount Pictures,"George Clooney (director/screenplay); Joel Coen, Ethan Coen, Grant Heslov (screenplay); Matt Damon, Julianne Moore, Oscar Isaac"
Jigsaw,Lionsgate Films / Twisted Pictures,"The Spierig Brothers (directors); Josh Stolberg, Pete Goldfinger (screenplay); Tobin Bell, Mandela Van Peebles, Laura Vandervoort, Brittany Allen, Callum Keith Rennie, Matt Passmore"
Novitiate,Sony Pictures Classics,"Maggie Betts (director/screenplay); Margaret Qualley, Melissa Leo, Morgan Saylor, Dianna Agron, Julianne Nicholson, Liana Liberato, Denis O'Hare, Maddie Hasson"
All I See Is You,Open Road Films / SC International Pictures,"Marc Forster (director); Blake Lively, Jason Clarke, Yvonne Strahovski, Danny Huston, Wes Chatham"
Amityville: The Awakening,Dimension Films / Blumhouse Productions,"Franck Khalfoun (director/screenplay); Bella Thorne, Jennifer Jason Leigh, Cameron Monaghan, Mckenna Grace, Jennifer Morrison, Kurtwood Smith"
Thor: Ragnarok,Marvel Studios,"Taika Waititi (director); Eric Pearson (screenplay); Chris Hemsworth, Tom Hiddleston, Cate Blanchett, Idris Elba, Jeff Goldblum, Tessa Thompson, Karl Urban, Mark Ruffalo, Anthony Hopkins"
A Bad Moms Christmas,STX Entertainment / Huayi Brothers Pictures,"Jon Lucas (director/screenplay), Scott Moore (director/screenplay); Mila Kunis, Kristen Bell, Kathryn Hahn, Jay Hernandez, Susan Sarandon, Christine Baranski"
Last Flag Flying,Lionsgate / Amazon Studios,"Richard Linklater (director/screenplay); Darryl Ponicsan (screenplay); Steve Carell, Bryan Cranston, Laurence Fishburne, Yul Vazquez"
Lady Bird,A24,"Greta Gerwig (director/screenplay); Saoirse Ronan, Laurie Metcalf, Tracy Letts, Lucas Hedges, Timothée Chalamet, Beanie Feldstein, Stephen McKinley Henderson, Lois Smith"
Murder on the Orient Express,20th Century Fox / Genre Films / Scott Free Productions,"Kenneth Branagh (director); Michael Green (screenplay); Kenneth Branagh, Penélope Cruz, Willem Dafoe, Judi Dench, Johnny Depp, Josh Gad, Derek Jacobi, Leslie Odom Jr., Michelle Pfeiffer, Daisy Ridley, Lucy Boynton, Sergei Polunin"
Daddy's Home 2,Paramount Pictures / Gary Sanchez Productions,"Sean Anders (director/screenplay), John Morris (screenplay); Will Ferrell, Mark Wahlberg, Linda Cardellini, John Cena, Mel Gibson, John Lithgow"
LBJ,Electric Entertainment,"Rob Reiner (director); Joey Hartstone (screenplay); Woody Harrelson, Richard Jenkins, Bill Pullman, Kim Allen, Michael Stahl-David, Jennifer Jason Leigh, Jeffrey Donovan, Doug McKeon, Michael Mosley"
"Three Billboards Outside Ebbing, Missouri",Fox Searchlight Pictures,"Martin McDonagh (director/screenplay); Frances McDormand, Woody Harrelson, Sam Rockwell, John Hawkes, Peter Dinklage"
Mayhem,RLJE Films,"Joe Lynch (director); Matias Caruso (screenplay); Steven Yeun, Samara Weaving, Steven Brand, Caroline Chikezie, Kerry Fox, Dallas Roberts"
Justice League,Warner Bros. Pictures / RatPac Entertainment / DC Entertainment / Atlas Entertainment / Cruel and Unusual Films,"Zack Snyder (director); Chris Terrio, Joss Whedon (screenplay); Ben Affleck, Henry Cavill, Gal Gadot, Jason Momoa, Ezra Miller, Ray Fisher, Amy Adams, Jeremy Irons, Diane Lane, J. K. Simmons, Ciarán Hinds"
The Star,Columbia Pictures / Sony Pictures Animation / Walden Media,"Timothy Reckart (director); Tom Sheridan (screenplay); Steven Yeun, Gina Rodriguez, Zachary Levi, Keegan-Michael Key, Kelly Clarkson, Patricia Heaton, Kristin Chenoweth, Tracy Morgan, Tyler Perry, Oprah Winfrey"
Wonder,Lionsgate / Participant Media / Walden Media,"Stephen Chbosky (director/screenplay); Steve Conrad, Jack Thorne (screenplay); Julia Roberts, Jacob Tremblay, Owen Wilson, Mandy Patinkin"
Cook Off!,Lionsgate Premiere,"Cathryn Michon (director/screenplay); Guy Shalem (director); Wendi McLendon-Covey, W. Bruce Cameron (screenplay); Cathryn Michon, Melissa McCarthy, Wendi McLendon-Covey, Diedrich Bader, Gary Anthony Williams, Ben Falcone, Niecy Nash, Louie Anderson, Stephen Root"
Mr. Roosevelt,Paladin,"Noël Wells (director/screenplay); Noël Wells, Nick Thune, Britt Lower, Daniella Pineda, Andre Hyland, Doug Benson, Armen Weitzman, Sergio Cilli"
"Roman J. Israel, Esq.",Columbia Pictures / Cross Creek Pictures / Image Nation / Escape Artists,"Dan Gilroy (director/screenplay), Denzel Washington, Colin Farrell, Carmen Ejogo, Shelley Hennig"
Coco,Walt Disney Pictures / Pixar Animation Studios,"Lee Unkrich (director); Adrian Molina (co-director/screenplay); Matthew Aldrich (screenplay); Anthony Gonzalez, Gael García Bernal, Benjamin Bratt, Alanna Ubach, Renée Victor, Ana Ofelia Murguia, Edward James Olmos"
Darkest Hour,Focus Features / Working Title Films,"Joe Wright (director); Anthony McCarten (screenplay); Gary Oldman, Ben Mendelsohn, Kristin Scott Thomas, Lily James, Stephen Dillane, Ronald Pickup"
The Man Who Invented Christmas,Bleecker Street,"Bharat Nalluri (director); Susan Coyne (screenplay); Dan Stevens, Christopher Plummer, Jonathan Pryce"
Call Me by Your Name,Sony Pictures Classics,"Luca Guadagnino (director); James Ivory (screenplay); Timothée Chalamet, Armie Hammer, Michael Stuhlbarg, Amira Casar, Esther Garrel, Victoire Du Bois"
The Disaster Artist,A24 / New Line Cinema / Good Universe,"James Franco (director); Scott Neustadter, Michael H. Weber (screenplay); James Franco, Dave Franco, Seth Rogen, Alison Brie, Ari Graynor, Josh Hutcherson, Jacki Weaver"
The Shape of Water,Fox Searchlight Pictures,"Guillermo del Toro (director/screenplay); Vanessa Taylor (screenplay); Sally Hawkins, Michael Shannon, Richard Jenkins, Doug Jones, Lauren Lee Smith, Michael Stuhlbarg, Octavia Spencer"
Wonder Wheel,Amazon Studios,"Woody Allen (director/screenplay); Kate Winslet, Justin Timberlake, Juno Temple, Jim Belushi, Tony Sirico"
"I, Tonya",Neon,"Craig Gillespie (director); Steven Rogers (screenplay); Margot Robbie, Sebastian Stan, Allison Janney, Julianne Nicholson, Mckenna Grace"
Just Getting Started,Broad Green Pictures,"Ron Shelton (director/screenplay); Morgan Freeman, Tommy Lee Jones, Rene Russo"
Star Wars: The Last Jedi,Lucasfilm Ltd.,"Rian Johnson (director/screenplay); Mark Hamill, Carrie Fisher, Adam Driver, Daisy Ridley, John Boyega, Oscar Isaac, Andy Serkis, Lupita Nyong'o, Domhnall Gleeson, Anthony Daniels, Gwendoline Christie, Kelly Marie Tran, Laura Dern, Benicio del Toro"
Ferdinand,20th Century Fox / Blue Sky Studios,"Carlos Saldanha (director); Robert L. Baird, Brad Copeland, Tim Federle (screenplay); John Cena, Kate McKinnon, Bobby Cannavale, Anthony Anderson, Peyton Manning, Gina Rodriguez, Miguel Ángel Silvestre, David Tennant"
Beyond Skyline,Vertical Entertainment,"Liam O'Donnell (director/screenplay); Frank Grillo, Bojana Novakovic, Callan Mulvey, Iko Uwais, Yayan Ruhian, Betty Gabriel, Antonio Fargas"
Christmas Inheritance,Netflix / MPCA,"Ernie Barbarash (director); David Anselmo (screenplay); Eliza Taylor, Jake Lacy, Andie MacDowell, Michael Xavier, Neil Crone, Anthony Sherwood, Bill Lake, Martin Roach"
Jumanji: Welcome to the Jungle,Columbia Pictures / Seven Bucks Productions,"Jake Kasdan (director); Scott Rosenberg (screenplay); Dwayne Johnson, Kevin Hart, Jack Black, Karen Gillan, Nick Jonas, Bobby Cannavale"
The Greatest Showman,20th Century Fox / TSG Entertainment / Chernin Entertainment,"Michael Gracey (director); Jenny Bicks, Bill Condon (screenplay); Hugh Jackman, Zac Efron, Rebecca Ferguson, Michelle Williams, Yahya Abdul-Mateen II, Zendaya"
Pitch Perfect 3,Universal Pictures / Perfect World Pictures / Gold Circle Entertainment,"Trish Sie (director); Kay Cannon (screenplay); Anna Kendrick, Anna Camp, Rebel Wilson, Brittany Snow, Hailee Steinfeld, Alexis Knapp, Ester Dean, Hana Mae Lee, Chrissie Fit, Kelley Jakle, Shelley Regner"
Downsizing,Paramount Pictures,"Alexander Payne (director/screenplay); Jim Taylor (screenplay); Matt Damon, Christoph Waltz, Hong Chau, Kristen Wiig"
Father Figures,Warner Bros. Pictures / Alcon Entertainment / The Montecito Picture Company,"Lawrence Sher (director); Justin Malen (screenplay); Owen Wilson, Ed Helms, J. K. Simmons, Terry Bradshaw, Ving Rhames, Katt Williams, Harry Shearer, June Squibb, Christopher Walken, Glenn Close"
The Post,20th Century Fox / DreamWorks Pictures / Amblin Entertainment,"Steven Spielberg (director); Liz Hannah, Josh Singer (screenplay); Tom Hanks, Meryl Streep, Sarah Paulson, Bruce Greenwood, Tracy Letts, Bob Odenkirk, Bradley Whitford, Matthew Rhys"
Bright,Netflix,"David Ayer (director); Max Landis (screenplay); Will Smith, Joel Edgerton, Noomi Rapace, Lucy Fry, Edgar Ramirez, Ike Barinholtz"
Crooked House,Vertical Entertainment / Sony Pictures,"Gilles Paquet-Brenner (director/screenplay); Tim Rose Price, Julian Fellowes (screenplay); Max Irons, Glenn Close, Gillian Anderson, Christina Hendricks, Terence Stamp, Stefanie Martini, Julian Sands"
Hostiles,Entertainment Studios,"Scott Cooper (director/screenplay); Christian Bale, Rosamund Pike, Wes Studi, Ben Foster, Adam Beach, Rory Cochrane, Jesse Plemons, Rory Cochrane, Adam Beach, Q'orianka Kilcher, Jonathan Majors, Timothée Chalamet"
All the Money in the World,TriStar Pictures,"Ridley Scott (director); David Scarpa (screenplay); Michelle Williams, Mark Wahlberg, Christopher Plummer, Romain Duris"
Molly's Game,STX Entertainment,"Aaron Sorkin (director/screenplay); Jessica Chastain, Idris Elba, Kevin Costner, Michael Cera, Chris O'Dowd, Bill Camp, Jeremy Strong"
Phantom Thread,Focus Features / Annapurna Pictures,"Paul Thomas Anderson (director/screenplay); Daniel Day-Lewis, Lesley Manville, Vicky Krieps"
